Time (s),Main Avg Current (mA)
0.2208,3.778
0.2210,3.766
0.2212,3.788
0.2214,3.832
0.2216,3.888
0.2218,3.804
0.2220,3.742
0.2222,3.75
0.2224,3.838
0.2226,3.83
0.2228,3.796
0.2230,3.748
0.2232,3.802
0.2234,3.816
0.2236,3.814
0.2238,3.814
0.2240,3.752
0.2242,3.836
0.2244,3.722
0.2246,3.824
0.2248,3.782
0.2250,3.786
0.2252,3.8
0.2254,3.802
0.2256,3.748
0.2258,3.81
0.2260,3.778
0.2262,3.786
0.2264,3.744
0.2266,3.824
0.2268,3.786
0.2270,3.748
0.2272,3.81
0.2274,3.758
0.2276,3.748
0.2278,3.766
0.2280,3.774
0.2282,3.824
0.2284,3.782
0.2286,3.772
0.2288,3.78
0.2290,3.736
0.2292,3.772
0.2294,3.802
0.2296,3.802
0.2298,3.774
0.2300,3.77
0.2302,3.81
0.2304,3.764
0.2306,3.77
0.2308,3.796
0.2310,3.782
0.2312,3.802
0.2314,3.786
0.2316,3.744
0.2318,3.764
0.2320,3.78
0.2322,3.744
0.2324,3.854
0.2326,3.822
0.2328,3.782
0.2330,3.748
0.2332,3.802
0.2334,3.882
0.2336,3.758
0.2338,3.744
0.2340,3.808
0.2342,3.778
0.2344,3.854
0.2346,3.748
0.2348,3.782
0.2350,3.844
0.2352,3.814
0.2354,3.794
0.2356,3.826
0.2358,3.794
0.2360,3.758
0.2362,3.796
0.2364,3.802
0.2366,3.794
0.2368,3.858
0.2370,3.816
0.2372,3.844
0.2374,3.704
0.2376,3.748
0.2378,3.876
0.2380,3.814
0.2382,3.76
0.2384,3.844
0.2386,3.78
0.2388,3.752
0.2390,3.782
0.2392,3.814
0.2394,3.81
0.2396,3.804
0.2398,3.818
0.2400,3.808
0.2402,3.766
0.2404,3.756
0.2406,3.838
0.2408,3.808
0.2410,3.782
0.2412,3.766
0.2414,3.808
0.2416,3.788
0.2418,3.764
0.2420,3.77
0.2422,3.804
0.2424,3.758
0.2426,3.752
0.2428,3.772
0.2430,3.766
0.2432,3.808
0.2434,3.774
0.2436,3.774
0.2438,3.75
0.2440,3.78
0.2442,3.766
0.2444,3.8
0.2446,3.808
0.2448,3.744
0.2450,3.782
0.2452,3.766
0.2454,3.808
0.2456,3.782
0.2458,3.764
0.2460,3.77
0.2462,3.808
0.2464,3.752
0.2466,3.808
0.2468,3.808
0.2470,3.744
0.2472,3.78
0.2474,3.81
0.2476,3.774
0.2478,3.774
0.2480,3.8
0.2482,3.818
0.2484,3.742
0.2486,3.756
0.2488,3.786
0.2490,3.81
0.2492,3.802
0.2494,3.802
0.2496,3.764
0.2498,3.832
0.2500,3.788
0.2502,3.744
0.2504,3.796
0.2506,3.782
0.2508,3.78
0.2510,3.788
0.2512,3.882
0.2514,3.802
0.2516,3.772
0.2518,3.796
0.2520,3.81
0.2522,3.836
0.2524,3.774
0.2526,3.778
0.2528,3.782
0.2530,3.804
0.2532,3.854
0.2534,3.826
0.2536,3.748
0.2538,3.75
0.2540,3.888
0.2542,3.854
0.2544,3.742
0.2546,3.808
0.2548,3.794
0.2550,3.822
0.2552,3.802
0.2554,3.738
0.2556,3.772
0.2558,3.838
0.2560,3.874
0.2562,3.794
0.2564,3.738
0.2566,3.788
0.2568,3.816
0.2570,3.766
0.2572,3.824
0.2574,3.774
0.2576,3.824
0.2578,3.756
0.2580,3.756
0.2582,3.802
0.2584,3.786
0.2586,3.792
0.2588,3.804
0.2590,3.752
0.2592,3.772
0.2594,3.778
0.2596,3.81
0.2598,3.794
0.2600,3.816
0.2602,3.714
0.2604,3.804
0.2606,3.766
0.2608,3.774
0.2610,3.788
0.2612,3.778
0.2614,3.814
0.2616,3.76
0.2618,3.744
0.2620,3.774
0.2622,3.752
0.2624,3.83
0.2626,3.818
0.2628,3.736
0.2630,3.738
0.2632,3.83
0.2634,3.756
0.2636,3.796
0.2638,3.76
0.2640,3.756
0.2642,3.81
0.2644,3.796
0.2646,3.75
0.2648,3.802
0.2650,3.77
0.2652,3.796
0.2654,3.808
0.2656,3.76
0.2658,3.84
0.2660,3.792
0.2662,3.764
0.2664,3.788
0.2666,3.766
0.2668,3.814
0.2670,3.788
0.2672,3.838
0.2674,3.78
0.2676,3.81
0.2678,3.816
0.2680,3.818
0.2682,3.764
0.2684,3.792
0.2686,3.766
0.2688,3.808
0.2690,3.83
0.2692,3.844
0.2694,3.764
0.2696,3.756
0.2698,3.854
0.2700,3.824
0.2702,3.802
0.2704,3.744
0.2706,3.808
0.2708,3.782
0.2710,3.846
0.2712,3.84
0.2714,3.756
0.2716,3.788
0.2718,3.8
0.2720,3.796
0.2722,3.792
0.2724,3.816
0.2726,3.742
0.2728,3.818
0.2730,3.778
0.2732,3.934
0.2734,3.772
0.2736,3.716
0.2738,3.744
0.2740,3.822
0.2742,3.782
0.2744,3.81
0.2746,3.76
0.2748,3.814
0.2750,3.796
0.2752,3.77
0.2754,3.8
0.2756,3.832
0.2758,3.758
0.2760,3.686
0.2762,3.778
0.2764,3.81
0.2766,3.808
0.2768,3.764
0.2770,3.808
0.2772,3.756
0.2774,3.778
0.2776,3.748
0.2778,3.78
0.2780,3.816
0.2782,3.772
0.2784,3.782
0.2786,3.76
0.2788,3.75
0.2790,3.81
0.2792,3.764
0.2794,3.848
0.2796,3.736
0.2798,3.72
0.2800,3.756
0.2802,3.794
0.2804,3.808
0.2806,3.816
0.2808,3.736
0.2810,3.8
0.2812,3.756
0.2814,3.8
0.2816,3.802
0.2818,3.764
0.2820,3.8
0.2822,3.75
0.2824,3.84
0.2826,3.748
0.2828,3.816
0.2830,3.824
0.2832,3.752
0.2834,3.786
0.2836,3.788
0.2838,3.8
0.2840,3.814
0.2842,3.802
0.2844,3.8
0.2846,3.772
0.2848,3.838
0.2850,3.794
0.2852,3.76
0.2854,3.852
0.2856,3.826
0.2858,3.796
0.2860,3.78
0.2862,3.774
0.2864,3.766
0.2866,3.814
0.2868,3.898
0.2870,3.758
0.2872,3.778
0.2874,3.832
0.2876,3.818
0.2878,3.832
0.2882,3.768
0.2884,3.862
0.2886,3.742
0.2888,3.78
0.2890,3.826
0.2892,3.76
0.2894,3.81
0.2896,3.826
0.2898,3.802
0.2900,3.766
0.2902,3.794
0.2904,3.742
0.2906,3.8
0.2908,3.826
0.2910,3.818
0.2912,3.772
0.2914,3.788
0.2916,3.782
0.2918,3.81
0.2920,3.772
0.2922,3.68
0.2924,3.848
0.2926,3.78
0.2928,3.834
0.2930,3.772
0.2932,3.742
0.2934,3.756
0.2936,3.8
0.2938,3.808
0.2940,3.778
0.2942,3.764
0.2944,3.79
0.2946,3.744
0.2948,3.812
0.2950,3.766
0.2952,3.756
0.2954,3.778
0.2956,3.788
0.2958,3.788
0.2960,3.758
0.2962,3.78
0.2964,3.794
0.2966,3.786
0.2968,3.75
0.2970,3.822
0.2972,3.826
0.2974,3.788
0.2976,3.766
0.2978,3.72
0.2980,3.782
0.2982,3.8
0.2984,3.788
0.2986,3.774
0.2988,3.84
0.2990,3.778
0.2992,3.758
0.2994,3.766
0.2996,3.774
0.2998,3.794
0.3000,3.852
0.3002,3.822
0.3004,3.752
0.3006,3.796
0.3008,3.84
0.3010,3.79
0.3012,3.766
0.3014,3.816
0.3016,3.81
0.3018,3.804
0.3020,3.742
0.3022,3.808
0.3024,3.804
0.3026,3.772
0.3028,3.84
0.3030,3.844
0.3032,3.772
0.3034,3.826
0.3036,3.788
0.3038,3.774
0.3040,3.782
0.3042,3.822
0.3044,3.81
0.3046,3.86
0.3048,3.816
0.3050,3.746
0.3052,3.69
0.3054,3.78
0.3056,3.89
0.3058,3.856
0.3060,3.772
0.3062,3.728
0.3064,3.904
0.3066,3.678
0.3068,3.822
0.3070,3.796
0.3072,3.772
0.3074,3.834
0.3076,3.764
0.3078,3.8
0.3080,3.766
0.3082,3.746
0.3084,3.788
0.3086,3.808
0.3088,3.786
0.3090,3.75
0.3092,3.768
0.3094,3.796
